no,area,name,lat,lng
66,深圳市福田区,莲花三村,22.55284,114.077632
67,深圳市福田区,安居苑(宏威路),22.566139,114.066372
68,深圳市福田区,福滨南村,22.534418,114.088454
69,深圳市福田区,华发大院,22.551912,114.089526
70,深圳市福田区,传麒景苑,22.564245,114.042975
71,深圳市福田区,教育福星苑,22.541155,114.088664
72,深圳市福田区,新世界四季山水-一期,22.576864,114.05246
73,深圳市福田区,鸿新花园-三期,22.550536,114.011821
74,深圳市福田区,通心岭小区-北区,22.553801,114.103577
75,深圳市福田区,新洲村,22.531997,114.053804
76,深圳市福田区,梅兴苑-南区,22.571383,114.057175
77,深圳市福田区,景新花园-景晖阁,22.560222,114.054038
78,深圳市福田区,长安花园-裙楼,22.558909,114.096513
79,深圳市福田区,深圳市公路局新洲住宅小区,22.53051,114.051351
80,深圳市福田区,华嵘·榕公馆,22.526301,114.068812
81,深圳市福田区,绿景广场,22.542127,114.037062
82,深圳市福田区,万科瑧山府-三期,22.555829,114.013257
83,深圳市福田区,嘉洲豪园-二期,22.532848,114.051238
84,深圳市福田区,宝能公馆-一期,22.546451,114.019268
85,深圳市福田区,金地花园-北区,22.527836,114.042129
86,深圳市福田区,宝瑞轩-福宏阁,22.515602,114.066814
87,深圳市福田区,万科城市花园-玉兰苑,22.561803,114.039372
88,深圳市福田区,星河明居星逸轩,22.528132,114.059966
89,深圳市福田区,福源花园三期-北海苑,22.514669,114.061424
90,深圳市福田区,私家小区,22.554618,114.018475
91,深圳市福田区,皇溪苑,22.531338,114.081916
92,深圳市福田区,深圳机场(集团)公司香蜜湖住宅区,22.555526,114.046384
93,深圳市福田区,日福阁,22.542141,114.085628
94,深圳市福田区,桑达雅苑-南区,22.551295,114.095803
95,深圳市福田区,金地·前海山,22.541517,114.066556
96,深圳市福田区,万科金色家园-二期,22.560527,114.050308
97,深圳市福田区,金城苑,22.575897,114.065484
98,深圳市福田区,嘉欣阁,22.5439,114.087261
99,深圳市福田区,市城建商住楼,22.545692,114.098125
100,深圳市福田区,金地香蜜山-二期,22.560697,114.024615
101,深圳市福田区,景丽花园社区-科协,22.558802,114.053868
102,深圳市福田区,梅林一村-七区,22.573093,114.04398
103,深圳市福田区,阳光家园,22.560254,114.096875
104,深圳市福田区,嘉乐园,22.544478,114.098353
105,深圳市福田区,金地网球花园-二期,22.561147,114.023974
106,深圳市福田区,万科城市花园-苿莉苑,22.562872,114.039099
107,深圳市福田区,巴登村-西区,22.544832,114.10785
108,深圳市福田区,花榭里苑,22.54827,114.027905
109,深圳市福田区,伟俊阁,22.533732,114.073412
110,深圳市福田区,长城三花园,22.55743,114.096408
111,深圳市福田区,华富苑(沙嘴二坊),22.524351,114.044902
112,深圳市福田区,中央花园-二期,22.529564,114.05969
113,深圳市福田区,誉德皇后街区,22.532487,114.071695
114,深圳市福田区,丽富苑,22.524303,114.044969
115,深圳市福田区,梅林一村-西区,22.572325,114.043368
116,深圳市福田区,荔园阁(新洲),22.526366,114.043561
117,深圳市福田区,环宇花园,22.527274,114.061544
118,深圳市福田区,OT社区,22.545744,114.046715
119,深圳市福田区,皇岗村-东区,22.530765,114.070193
120,深圳市福田区,嘉悦园,22.529902,114.054124
121,深圳市福田区,鸣沙苑,22.53173,114.052389
122,深圳市福田区,沙埔头村东区-静趣居,22.543778,114.09888
123,深圳市福田区,天宝物华锦苑,22.548362,114.027107
124,深圳市福田区,天名居-A座,22.565634,114.048061
125,深圳市福田区,沙埔头村东区-寿华楼,22.542662,114.099741
126,深圳市福田区,园岭新村二期-南区,22.556169,114.1064
127,深圳市福田区,百花玉苑,22.558389,114.10145
128,深圳市福田区,市航运总公E型住宅,22.536442,114.093976
129,深圳市福田区,德佑熙园,22.556781,114.029373
130,深圳市福田区,埔尾村-西区,22.544505,114.105054
131,深圳市福田区,合正名园一期-东区,22.548003,114.05105
132,深圳市福田区,园岭新村-四期,22.556739,114.104059
133,深圳市福田区,公汽总站住宅楼,22.541491,114.098437
134,深圳市福田区,艺丰花园-二期,22.575249,114.074528
135,深圳市福田区,旧墟村-南区,22.543404,114.096979
136,深圳市福田区,青春家园,22.558538,114.078198
137,深圳市福田区,浩联时代,22.544641,114.07254
